n_principals,prefixes_per_principal,trial,startup_ms,mbps
10,5,1,204.28,8863.16
10,5,2,204.35,8851.06
10,5,3,204.34,8847.02
10,10,1,204.27,8860.49
10,10,2,204.64,8862.56
10,10,3,204.32,8850.44
10,25,1,204.38,8862.64
10,25,2,204.18,8852.32
10,25,3,204.41,8859.62
50,5,1,204.43,8860.58
50,5,2,204.38,8850.22
50,5,3,204.11,8852.32
50,10,1,204.71,8862.35
50,10,2,204.46,8852.96
50,10,3,204.31,8852.33
50,25,1,204.57,8859.21
50,25,2,204.46,8868.92
50,25,3,204.45,8872.04
100,5,1,204.35,8844.52
100,5,2,204.45,8859.47
100,5,3,204.25,8847.98
100,10,1,204.42,8863.28
100,10,2,204.83,8861.97
100,10,3,204.57,8850.16
100,25,1,204.22,8857.46
100,25,2,204.53,8861.47
100,25,3,204.49,8834.02
250,5,1,204.48,8860.55
250,5,2,204.67,8857.98
250,5,3,204.41,8857.30
250,10,1,204.36,8854.79
250,10,2,203.97,8860.49
250,10,3,204.52,8855.25
250,25,1,205.03,8855.02
250,25,2,204.95,8852.34
250,25,3,204.54,8856.00
500,5,1,204.72,8864.30
500,5,2,204.58,8856.95
500,5,3,204.54,8851.94
500,10,1,204.57,8860.74
500,10,2,204.83,8854.62
500,10,3,205.06,8850.65
500,25,1,204.14,8868.63
500,25,2,204.65,8853.13
500,25,3,204.66,8864.43
