config,trial,duration_s,bytes,bits_per_second,retransmits,cpu_sender_pct,cpu_receiver_pct
wg_baseline,1,10.00,11084627968,8866636605,150,10.08,54.56
wg_baseline,2,10.00,11102453760,8880937260,0,40.27,54.70
wg_baseline,3,10.00,11098652672,8877885201,368,8.51,54.38
wg_baseline,4,10.00,11102715904,8881132743,0,8.46,54.52
wg_baseline,5,10.00,11097866240,8877295184,198,8.54,54.68
wg_baseline,6,10.00,11102978048,8881289152,0,8.46,54.50
wg_baseline,7,10.00,11096555520,8876230750,344,40.22,54.65
wg_baseline,8,10.00,11100094464,8879043826,294,8.52,54.53
wg_baseline,9,10.00,11099308032,8878404101,224,8.84,54.85
wg_baseline,10,10.00,11100094464,8878970139,408,40.55,54.70
wg_nftables,1,10.00,9762504704,7809785089,185,34.37,54.33
wg_nftables,2,10.00,9688711168,7749983911,336,9.24,53.08
wg_nftables,3,10.00,9865265152,7891269115,427,8.90,54.42
wg_nftables,4,10.00,9780592640,7823543110,216,9.43,53.69
wg_nftables,5,10.00,9760800768,7807716181,377,7.78,54.15
wg_nftables,6,10.00,9827647488,7861171505,159,7.89,54.80
wg_nftables,7,10.00,9807855616,7845355603,397,7.95,53.06
wg_nftables,8,10.00,9812836352,7849350708,383,7.88,54.07
wg_nftables,9,10.00,9884008448,7906261170,398,7.93,54.80
wg_nftables,10,10.00,9769320448,7814535806,501,8.47,54.07
wg_tag_only,1,10.00,11095900160,8875653274,346,40.61,54.50
wg_tag_only,2,10.00,11098914816,8878399385,272,9.31,54.89
wg_tag_only,3,10.00,11098259456,8877764177,273,40.52,54.72
wg_tag_only,4,10.00,11099308032,8878406764,430,9.68,54.87
wg_tag_only,5,10.00,11097735168,8877112228,323,8.58,54.94
wg_tag_only,6,10.00,11100225536,8878938265,316,9.12,55.12
wg_tag_only,7,10.00,11098914816,8878893898,143,8.61,54.72
wg_tag_only,8,10.00,11098128384,8877432089,435,9.35,54.93
wg_tag_only,9,10.00,11098128384,8877442741,241,40.39,55.12
wg_tag_only,10,10.00,11101011968,8879790174,32,8.48,54.83
wg_enforce_nocache,1,10.00,11094458368,8874516839,364,8.57,54.97
wg_enforce_nocache,2,10.00,11098390528,8877665746,144,8.56,55.04
wg_enforce_nocache,3,10.00,11096555520,8876237851,215,40.24,55.19
wg_enforce_nocache,4,10.00,11097341952,8876817220,212,9.44,54.91
wg_enforce_nocache,5,10.00,11102322688,8880786240,0,10.08,54.85
wg_enforce_nocache,6,10.00,11099308032,8878393448,975,8.52,54.54
wg_enforce_nocache,7,10.00,11101929472,8880508998,0,10.24,55.13
wg_enforce_nocache,8,10.00,11103109120,8881382452,0,8.48,55.06
wg_enforce_nocache,9,10.00,11098914816,8878033640,90,8.54,55.13
wg_enforce_nocache,10,10.00,11098652672,8877840817,134,9.10,54.78
wg_enforce_cache,1,10.00,11089739776,8870748621,574,9.28,54.73
wg_enforce_cache,2,10.00,11093278720,8873576781,346,9.86,55.08
wg_enforce_cache,3,10.00,11098259456,8877556462,269,8.54,54.93
wg_enforce_cache,4,10.00,11097473024,8876922065,226,8.58,55.07
wg_enforce_cache,5,10.00,11096686592,8876298320,126,9.00,55.17
wg_enforce_cache,6,10.00,11097079808,8876760192,34,8.94,54.71
wg_enforce_cache,7,10.00,11096293376,8875981122,174,40.43,54.76
wg_enforce_cache,8,10.00,11100094464,8879023407,277,9.94,55.09
wg_enforce_cache,9,10.00,11099176960,8878306357,247,8.55,54.82
wg_enforce_cache,10,10.00,11098914816,8878065597,231,9.44,54.95
